waypoint1	waypoint2	distance_m	duration_s
Venice, Italy	Berlin, Germany	1131382	40413
Venice, Italy	Amsterdam, Netherlands	1308493	47404
Venice, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1334662	48163
Venice, Italy	Edinburgh, United Kingdom	2190683	78057
Venice, Italy	Inverness, United Kingdom	2486928	87326
Venice, Italy	Ballybunion, Ireland	2457099	93412
Venice, Italy	Cliffs of Moher, Clare, Ireland	2455108	93247
Venice, Italy	Cornwall, England	1965811	69381
Venice, Italy	Stonehenge, Amesbury, United Kingdom	1687041	58324
Venice, Italy	London, United Kingdom	1563356	55357
Venice, Italy	Brussels, Belgium	1170865	41599
Venice, Italy	Paris, France	1111370	38154
Venice, Italy	Pamplona, Spain	1526375	52874
Venice, Italy	Lagos, Portugal	2497240	83326
Venice, Italy	Granada, Spain	2112226	70468
Venice, Italy	Ibiza, Spain	1804110	66290
Venice, Italy	Barcelona, Spain	1237002	43256
Venice, Italy	Luberone, Bonnieux, France	800016	29426
Venice, Italy	Nice, France	571901	20892
Venice, Italy	Monte Carlo, Monaco	557931	20511
Venice, Italy	Interlaken, Switzerland	521531	21150
Florence, Italy	Tuscany, Italy	796	325
Rome, Italy	Tuscany, Italy	273945	10996
Vatican City	Tuscany, Italy	278650	11117
Amalfi, Italy	Tuscany, Italy	522727	20726
Gozo, Malta	Tuscany, Italy	1330210	63282
Dubrovnik, Croatia	Tuscany, Italy	1074566	40799
Santorini, Thira, Greece	Tuscany, Italy	1847982	116832
Rila Monastery, Rilski manastir, Bulgaria	Tuscany, Italy	1502587	55015
Istanbul, Turkey	Tuscany, Italy	1959381	70093
Sighisoara, Mures County, Romania	Tuscany, Italy	1582878	56445
Budapest, Hungary	Tuscany, Italy	946467	32630
Vienna, Austria	Tuscany, Italy	852361	30125
Prague, Czech Republic	Tuscany, Italy	1033338	36884
Krakow, Poland	Tuscany, Italy	1311992	46495
Jägala Waterfall, 74205 Harjumaa, Estonia	Tuscany, Italy	2545115	100542
Lapland, Finland	Tuscany, Italy	3609626	139816
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Tuscany, Italy	3499081	133782
Bergen, Norway	Tuscany, Italy	2610853	107719
Copenhagen, Denmark	Tuscany, Italy	1631121	64174
Berlin, Germany	Tuscany, Italy	1233333	44477
Amsterdam, Netherlands	Tuscany, Italy	1380785	49439
Keukenhof, Stationsweg, Lisse, Netherlands	Tuscany, Italy	1405497	49997
Edinburgh, United Kingdom	Tuscany, Italy	2231137	80100
Inverness, United Kingdom	Tuscany, Italy	2527382	89368
Ballybunion, Ireland	Tuscany, Italy	2497553	95454
Cliffs of Moher, Clare, Ireland	Tuscany, Italy	2495562	95289
Cornwall, England	Tuscany, Italy	2006266	71423
Stonehenge, Amesbury, United Kingdom	Tuscany, Italy	1727496	60367
London, United Kingdom	Tuscany, Italy	1603810	57399
Brussels, Belgium	Tuscany, Italy	1213930	43731
Paris, France	Tuscany, Italy	1151824	40196
Pamplona, Spain	Tuscany, Italy	1379174	49518
Lagos, Portugal	Tuscany, Italy	2350039	79970
Granada, Spain	Tuscany, Italy	1965025	67112
Ibiza, Spain	Tuscany, Italy	1656909	62934
Barcelona, Spain	Tuscany, Italy	1089801	39900
Luberone, Bonnieux, France	Tuscany, Italy	652815	26070
Nice, France	Tuscany, Italy	424700	17536
Monte Carlo, Monaco	Tuscany, Italy	410730	17155
Interlaken, Switzerland	Tuscany, Italy	564596	23281
Rome, Italy	Florence, Italy	278665	11039
Florence, Italy	Vatican City	283371	11160
Florence, Italy	Amalfi, Italy	527447	20769
Florence, Italy	Gozo, Malta	1334931	63325
Florence, Italy	Dubrovnik, Croatia	1073863	40525
Santorini, Thira, Greece	Florence, Italy	1852703	116875
Florence, Italy	Rila Monastery, Rilski manastir, Bulgaria	1501884	54740
Florence, Italy	Istanbul, Turkey	1958678	69818
Florence, Italy	Sighisoara, Mures County, Romania	1582175	56170
Florence, Italy	Budapest, Hungary	945764	32355
Vienna, Austria	Florence, Italy	851658	29850
Florence, Italy	Prague, Czech Republic	1032635	36609
Florence, Italy	Krakow, Poland	1311289	46220
Florence, Italy	Jägala Waterfall, 74205 Harjumaa, Estonia	2544412	100268
Florence, Italy	Lapland, Finland	3608923	139541
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Florence, Italy	3498378	133507
Bergen, Norway	Florence, Italy	2610150	107444
Florence, Italy	Copenhagen, Denmark	1630418	63899
Berlin, Germany	Florence, Italy	1232630	44203
Florence, Italy	Amsterdam, Netherlands	1380082	49164
Florence, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1404794	49723
Edinburgh, United Kingdom	Florence, Italy	2230434	79825
Inverness, United Kingdom	Florence, Italy	2526679	89094
Ballybunion, Ireland	Florence, Italy	2496850	95179
Florence, Italy	Cliffs of Moher, Clare, Ireland	2494859	95014
Florence, Italy	Cornwall, England	2005563	71149
Stonehenge, Amesbury, United Kingdom	Florence, Italy	1726793	60092
London, United Kingdom	Florence, Italy	1603107	57124
Brussels, Belgium	Florence, Italy	1213227	43456
Florence, Italy	Paris, France	1151121	39921
Florence, Italy	Pamplona, Spain	1378471	49244
Lagos, Portugal	Florence, Italy	2349336	79695
Granada, Spain	Florence, Italy	1964322	66838
Florence, Italy	Ibiza, Spain	1656206	62659
Barcelona, Spain	Florence, Italy	1089098	39625
Florence, Italy	Luberone, Bonnieux, France	652112	25795
Florence, Italy	Nice, France	423997	17262
Florence, Italy	Monte Carlo, Monaco	410027	16880
Interlaken, Switzerland	Florence, Italy	563893	23006
Rome, Italy	Vatican City	6984	1133
Rome, Italy	Amalfi, Italy	275289	12486
Rome, Italy	Gozo, Malta	1082772	55043
Rome, Italy	Dubrovnik, Croatia	641616	50776
Santorini, Thira, Greece	Rome, Italy	1600544	108592
Rome, Italy	Rila Monastery, Rilski manastir, Bulgaria	1772232	63717
Rome, Italy	Istanbul, Turkey	2229026	78795
Rome, Italy	Sighisoara, Mures County, Romania	1852523	65147
Rome, Italy	Budapest, Hungary	1216112	41331
Vienna, Austria	Rome, Italy	1122007	38827
Rome, Italy	Prague, Czech Republic	1302983	45586
Rome, Italy	Krakow, Poland	1581637	55197
Rome, Italy	Jägala Waterfall, 74205 Harjumaa, Estonia	2814761	109244
Rome, Italy	Lapland, Finland	3879271	148517
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Rome, Italy	3768727	142484
Bergen, Norway	Rome, Italy	2880498	116421
Rome, Italy	Copenhagen, Denmark	1900766	72875
Berlin, Germany	Rome, Italy	1502978	53179
Rome, Italy	Amsterdam, Netherlands	1650430	58140
Rome, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1675143	58699
Edinburgh, United Kingdom	Rome, Italy	2500783	88802
Inverness, United Kingdom	Rome, Italy	2797028	98070
Ballybunion, Ireland	Rome, Italy	2767198	104156
Rome, Italy	Cliffs of Moher, Clare, Ireland	2765208	103991
Rome, Italy	Cornwall, England	2275911	80125
Rome, Italy	Stonehenge, Amesbury, United Kingdom	1997141	69068
London, United Kingdom	Rome, Italy	1873456	66101
Brussels, Belgium	Rome, Italy	1483575	52432
Rome, Italy	Paris, France	1421470	48898
Rome, Italy	Pamplona, Spain	1648819	58220
Lagos, Portugal	Rome, Italy	2619684	88672
Granada, Spain	Rome, Italy	2234670	75814
Rome, Italy	Ibiza, Spain	1926555	71636
Barcelona, Spain	Rome, Italy	1359447	48602
Rome, Italy	Luberone, Bonnieux, France	922460	34772
Rome, Italy	Nice, France	694345	26238
Rome, Italy	Monte Carlo, Monaco	680376	25856
Interlaken, Switzerland	Rome, Italy	834242	31983
Vatican City	Amalfi, Italy	280503	13235
Gozo, Malta	Vatican City	1087986	55791
Vatican City	Dubrovnik, Croatia	646830	51524
Santorini, Thira, Greece	Vatican City	1605758	109341
Vatican City	Rila Monastery, Rilski manastir, Bulgaria	1789117	64198
Vatican City	Istanbul, Turkey	2245910	79276
Vatican City	Sighisoara, Mures County, Romania	1869407	65628
Vatican City	Budapest, Hungary	1232996	41812
Vienna, Austria	Vatican City	1138891	39308
Vatican City	Prague, Czech Republic	1319867	46067
Vatican City	Krakow, Poland	1598522	55678
Jägala Waterfall, 74205 Harjumaa, Estonia	Vatican City	2831645	109725
Lapland, Finland	Vatican City	3896155	148998
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Vatican City	3785611	142965
Bergen, Norway	Vatican City	2897382	116902
Vatican City	Copenhagen, Denmark	1917651	73357
Berlin, Germany	Vatican City	1519862	53660
Vatican City	Amsterdam, Netherlands	1667314	58621
Vatican City	Keukenhof, Stationsweg, Lisse, Netherlands	1692027	59180
Edinburgh, United Kingdom	Vatican City	2517667	89283
Inverness, United Kingdom	Vatican City	2813912	98551
Ballybunion, Ireland	Vatican City	2784083	104637
Vatican City	Cliffs of Moher, Clare, Ireland	2782092	104472
Cornwall, England	Vatican City	2292795	80606
Stonehenge, Amesbury, United Kingdom	Vatican City	2014025	69549
London, United Kingdom	Vatican City	1890340	66582
Brussels, Belgium	Vatican City	1500459	52913
Vatican City	Paris, France	1438354	49379
Pamplona, Spain	Vatican City	1629176	58378
Lagos, Portugal	Vatican City	2600042	88829
Granada, Spain	Vatican City	2215028	75972
Ibiza, Spain	Vatican City	1906912	71793
Barcelona, Spain	Vatican City	1339804	48759
Vatican City	Luberone, Bonnieux, France	902818	34929
Vatican City	Nice, France	674702	26396
Vatican City	Monte Carlo, Monaco	660733	26014
Interlaken, Switzerland	Vatican City	851126	32464
Gozo, Malta	Amalfi, Italy	845590	49167
Amalfi, Italy	Dubrovnik, Croatia	475969	46810
Santorini, Thira, Greece	Amalfi, Italy	1434897	104627
Amalfi, Italy	Rila Monastery, Rilski manastir, Bulgaria	1191291	73160
Amalfi, Italy	Istanbul, Turkey	1555265	85274
Amalfi, Italy	Sighisoara, Mures County, Romania	2103382	74821
Budapest, Hungary	Amalfi, Italy	1466972	51005
Vienna, Austria	Amalfi, Italy	1372866	48501
Prague, Czech Republic	Amalfi, Italy	1553842	55259
Krakow, Poland	Amalfi, Italy	1832497	64871
Jägala Waterfall, 74205 Harjumaa, Estonia	Amalfi, Italy	3065620	118918
Lapland, Finland	Amalfi, Italy	4130130	158191
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Amalfi, Italy	4019586	152158
Bergen, Norway	Amalfi, Italy	3131357	126095
Copenhagen, Denmark	Amalfi, Italy	2151626	82549
Berlin, Germany	Amalfi, Italy	1753837	62853
Amsterdam, Netherlands	Amalfi, Italy	1901289	67814
Amalfi, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1926002	68373
Edinburgh, United Kingdom	Amalfi, Italy	2751642	98475
Inverness, United Kingdom	Amalfi, Italy	3047887	107744
Ballybunion, Ireland	Amalfi, Italy	3018058	113830
Cliffs of Moher, Clare, Ireland	Amalfi, Italy	3016067	113665
Cornwall, England	Amalfi, Italy	2526771	89799
Stonehenge, Amesbury, United Kingdom	Amalfi, Italy	2248000	78742
London, United Kingdom	Amalfi, Italy	2124315	75775
Brussels, Belgium	Amalfi, Italy	1734434	62106
Amalfi, Italy	Paris, France	1672329	58572
Pamplona, Spain	Amalfi, Italy	1899678	67894
Lagos, Portugal	Amalfi, Italy	2870544	98345
Granada, Spain	Amalfi, Italy	2485530	85488
Ibiza, Spain	Amalfi, Italy	2177414	81310
Barcelona, Spain	Amalfi, Italy	1610306	58275
Luberone, Bonnieux, France	Amalfi, Italy	1173320	44445
Nice, France	Amalfi, Italy	945204	35912
Monte Carlo, Monaco	Amalfi, Italy	931235	35530
Interlaken, Switzerland	Amalfi, Italy	1085101	41656
Gozo, Malta	Dubrovnik, Croatia	1040917	81676
Santorini, Thira, Greece	Gozo, Malta	1887224	135707
Gozo, Malta	Rila Monastery, Rilski manastir, Bulgaria	1643619	104240
Gozo, Malta	Istanbul, Turkey	2007592	116354
Gozo, Malta	Sighisoara, Mures County, Romania	2907396	117296
Gozo, Malta	Budapest, Hungary	2270985	93480
