waypoint1	waypoint2	distance_m	duration_s
Nice, France	Cliffs of Moher, Clare, Ireland	2289739	87099
Monte Carlo, Monaco	Cliffs of Moher, Clare, Ireland	2311813	88346
Interlaken, Switzerland	Cliffs of Moher, Clare, Ireland	1954232	77685
Stonehenge, Amesbury, United Kingdom	Cornwall, England	282442	11384
London, United Kingdom	Cornwall, England	455687	17610
Brussels, Belgium	Cornwall, England	773412	31285
Cornwall, England	Paris, France	869799	34227
Cornwall, England	Pamplona, Spain	1239867	63733
Lagos, Portugal	Cornwall, England	2329950	97217
Granada, Spain	Cornwall, England	2050110	89399
Cornwall, England	Ibiza, Spain	1957838	92452
Barcelona, Spain	Cornwall, England	1897832	67431
Cornwall, England	Luberone, Bonnieux, France	1610375	57358
Cornwall, England	Nice, France	1814929	63369
Cornwall, England	Monte Carlo, Monaco	1837003	64616
Interlaken, Switzerland	Cornwall, England	1479423	53955
London, United Kingdom	Stonehenge, Amesbury, United Kingdom	141271	6904
Brussels, Belgium	Stonehenge, Amesbury, United Kingdom	494043	20147
Stonehenge, Amesbury, United Kingdom	Paris, France	590430	23088
Stonehenge, Amesbury, United Kingdom	Pamplona, Spain	1458546	51859
Lagos, Portugal	Stonehenge, Amesbury, United Kingdom	2548629	85343
Granada, Spain	Stonehenge, Amesbury, United Kingdom	2268790	77525
Stonehenge, Amesbury, United Kingdom	Ibiza, Spain	2185571	79327
Barcelona, Spain	Stonehenge, Amesbury, United Kingdom	1618463	56293
Stonehenge, Amesbury, United Kingdom	Luberone, Bonnieux, France	1331006	46220
Stonehenge, Amesbury, United Kingdom	Nice, France	1535560	52231
Stonehenge, Amesbury, United Kingdom	Monte Carlo, Monaco	1557634	53477
Interlaken, Switzerland	Stonehenge, Amesbury, United Kingdom	1200053	42816
London, United Kingdom	Brussels, Belgium	379184	17345
London, United Kingdom	Paris, France	475572	20286
London, United Kingdom	Pamplona, Spain	1343688	49058
London, United Kingdom	Lagos, Portugal	2433771	82542
London, United Kingdom	Granada, Spain	2153931	74724
London, United Kingdom	Ibiza, Spain	2070713	76525
London, United Kingdom	Barcelona, Spain	1503605	53491
London, United Kingdom	Luberone, Bonnieux, France	1216147	43418
London, United Kingdom	Nice, France	1420701	49429
London, United Kingdom	Monte Carlo, Monaco	1442776	50676
London, United Kingdom	Interlaken, Switzerland	1085195	40015
Brussels, Belgium	Paris, France	312536	12073
Brussels, Belgium	Pamplona, Spain	1177471	41054
Brussels, Belgium	Lagos, Portugal	2267554	74538
Brussels, Belgium	Granada, Spain	1987714	66720
Brussels, Belgium	Ibiza, Spain	1907677	68312
Brussels, Belgium	Barcelona, Spain	1340569	45278
Brussels, Belgium	Luberone, Bonnieux, France	1008788	34298
Brussels, Belgium	Nice, France	1213342	40309
Brussels, Belgium	Monte Carlo, Monaco	1235417	41555
Brussels, Belgium	Interlaken, Switzerland	721670	25503
Pamplona, Spain	Paris, France	874415	30350
Lagos, Portugal	Paris, France	1964498	63834
Granada, Spain	Paris, France	1684658	56016
Ibiza, Spain	Paris, France	1604621	57608
Barcelona, Spain	Paris, France	1037513	34574
Luberone, Bonnieux, France	Paris, France	740120	25318
Nice, France	Paris, France	944674	31329
Monte Carlo, Monaco	Paris, France	966748	32576
Interlaken, Switzerland	Paris, France	627206	23379
Lagos, Portugal	Pamplona, Spain	1143733	36942
Granada, Spain	Pamplona, Spain	800938	27676
Ibiza, Spain	Pamplona, Spain	715414	29125
Barcelona, Spain	Pamplona, Spain	488609	16612
Pamplona, Spain	Luberone, Bonnieux, France	768433	28227
Pamplona, Spain	Nice, France	953098	32664
Pamplona, Spain	Monte Carlo, Monaco	975173	33910
Interlaken, Switzerland	Pamplona, Spain	1205394	42710
Lagos, Portugal	Granada, Spain	529591	18773
Lagos, Portugal	Ibiza, Spain	1137974	43572
Barcelona, Spain	Lagos, Portugal	1276897	43057
Lagos, Portugal	Luberone, Bonnieux, France	1741845	59040
Lagos, Portugal	Nice, France	1926511	63477
Lagos, Portugal	Monte Carlo, Monaco	1948585	64724
Interlaken, Switzerland	Lagos, Portugal	2263657	74488
Granada, Spain	Ibiza, Spain	613653	26999
Barcelona, Spain	Granada, Spain	858338	29964
Granada, Spain	Luberone, Bonnieux, France	1323286	45947
Granada, Spain	Nice, France	1507952	50384
Granada, Spain	Monte Carlo, Monaco	1530026	51631
Interlaken, Switzerland	Granada, Spain	1845098	61395
Barcelona, Spain	Ibiza, Spain	583184	25914
Ibiza, Spain	Luberone, Bonnieux, France	1048133	41898
Ibiza, Spain	Nice, France	1232798	46335
Ibiza, Spain	Monte Carlo, Monaco	1254872	47582
Interlaken, Switzerland	Ibiza, Spain	1569944	57346
Barcelona, Spain	Luberone, Bonnieux, France	477287	18387
Barcelona, Spain	Nice, France	661953	22824
Barcelona, Spain	Monte Carlo, Monaco	684027	24071
Barcelona, Spain	Interlaken, Switzerland	999099	33834
Luberone, Bonnieux, France	Nice, France	227078	9373
Luberone, Bonnieux, France	Monte Carlo, Monaco	249152	10619
Interlaken, Switzerland	Luberone, Bonnieux, France	627604	22276
Monte Carlo, Monaco	Nice, France	20985	2153
Interlaken, Switzerland	Nice, France	571404	24201
Interlaken, Switzerland	Monte Carlo, Monaco	557568	23695
